Название,Цена,Описание,Картинка,Ссылка на товар
SamsungQN800AUXCE,Скидка по карте – 3%475 000c,475 000,/files/media/17/17853.jpg,https://myphone.kg/ru/catalog/televizory/i3094/qn800auxce
SamsungQN900AUXCE,Скидка по карте – 3%456 000c,456 000,/files/media/18/18170.png,https://myphone.kg/ru/catalog/televizory/i3155/qn900auxce
"AppleMacBook Pro 16""M1Pro/16Gb/1Tb",236 500c,M1Pro/16Gb/1Tb,/files/media/18/18289.webp,https://myphone.kg/ru/catalog/dlya_kompyutera/noutbuki/i3173/macbook_pro_16
SamsungQN95BUXCE,Скидка по карте – 3%228 000c,228 000,/files/media/17/17837.png,https://myphone.kg/ru/catalog/televizory/i3089/qn95buxce
SamsungFlip WM55HИнтерактивная доска,224 500c,Интерактивная доска,/files/media/17/17113.jpg,https://myphone.kg/ru/catalog/gadget/interaktivnye_displei/i2997/flip_wm55h
ASUSROG Strix G15Ryzen9/16Gb/SSD1Tb,220 500c,Ryzen9/16Gb/SSD1Tb,/files/media/18/18063.webp,https://myphone.kg/ru/catalog/dlya_kompyutera/noutbuki/i3139/rog_strix_g15
SamsungQN87AAUXCE,Скидка по карте – 3%186 200c,186 200,/files/media/18/18308.jpg,https://myphone.kg/ru/catalog/televizory/i3175/qn87aauxce
AppleIphone 14 Pro Max1Tb,172 900c,1Tb,/files/media/17/17240.webp,https://myphone.kg/ru/catalog/cell/i3005/iphone_14_pro_max
"AppleMacBook Pro 14""M1Pro/16Gb/512Gb",172 000c,M1Pro/16Gb/512Gb,/files/media/18/18312.webp,https://myphone.kg/ru/catalog/dlya_kompyutera/noutbuki/i3176/macbook_pro_14
AppleIphone 14 Pro Max512Gb,155 000c,512Gb,/files/media/17/17228.webp,https://myphone.kg/ru/catalog/cell/i3004/iphone_14_pro_max
SamsungGalaxy Z Fold 4 5G12+512Gb,154 490c,12+512Gb,/files/media/16/16744.jpg,https://myphone.kg/ru/catalog/cell/i2947/galaxy_z_fold_4_5g
SamsungGalaxy Book2 Pro 360i7-1260/16Gb/SSD1Tb,148 000c,i7-1260/16Gb/SSD1Tb,/files/media/18/18782.jpg,https://myphone.kg/ru/catalog/dlya_kompyutera/noutbuki/i3252/galaxy_book2_pro_360
SamsungQN85BAUXCE,Скидка по карте – 3%147 870c,147 870,/files/media/17/17803.png,https://myphone.kg/ru/catalog/televizory/i3083/qn85bauxce
SamsungQN90AAUXCE,Скидка по карте – 3%145 000c,145 000,/files/media/17/17809.png,https://myphone.kg/ru/catalog/televizory/i3084/qn90aauxce
"AppleMacBook Pro 13""M2/8Gb/512Gb",145 000c,M2/8Gb/512Gb,/files/media/18/18280.webp,https://myphone.kg/ru/catalog/dlya_kompyutera/noutbuki/i3172/macbook_pro_13
SamsungGalaxy Z Fold 4 5G12+256Gb,144 490c,12+256Gb,/files/media/16/16698.jpg,https://myphone.kg/ru/catalog/cell/i2944/galaxy_z_fold_4_5g
"AppleMacBook Air 13""M2/8Gb/512Gb",142 500c,M2/8Gb/512Gb,/files/media/18/18705.webp,https://myphone.kg/ru/catalog/dlya_kompyutera/noutbuki/i3240/macbook_air_13
SamsungGalaxy Book2 Pro 360i7-1260/8Gb/SSD512Gb,140 000c,i7-1260/8Gb/SSD512Gb,/files/media/17/17260.webp,https://myphone.kg/ru/catalog/dlya_kompyutera/noutbuki/i3006/galaxy_book2_pro_360
AppleIphone 14 Pro512Gb,139 900c,512Gb,/files/media/17/17189.webp,https://myphone.kg/ru/catalog/cell/i3000/iphone_14_pro
AppleIphone 14 Pro Max256Gb,135 000c,256Gb,/files/media/17/17225.webp,https://myphone.kg/ru/catalog/cell/i3003/iphone_14_pro_max
AppleIphone 13 Pro Max1Tb,131 900c,1Tb,/files/media/13/13485.jpg,https://myphone.kg/ru/catalog/cell/i2538/iphone_13_pro_max
SamsungGalaxy Book2 Proi7/16Gb/SSD512Gb,130 000c,i7/16Gb/SSD512Gb,/files/media/15/15783.jpg,https://myphone.kg/ru/catalog/dlya_kompyutera/noutbuki/i2808/galaxy_book2_pro
SamsungGalaxy S23 Ultra512Gb,128 990c,512Gb,/files/media/18/18995.webp,https://myphone.kg/ru/catalog/cell/i3266/galaxy_s23_ultra
AcerNItro5 AN515-46Ryzen 5/16Gb/SDD512Gb,128 500c,Ryzen 5/16Gb/SDD512Gb,/files/media/17/17718.webp,https://myphone.kg/ru/catalog/dlya_kompyutera/noutbuki/i3068/nitro5_an515_46
SamsungQN800AUXCE,Скидка по карте – 3%475 000c,475 000,/files/media/17/17853.jpg,https://myphone.kg/ru/catalog/televizory/i3094/qn800auxce
SamsungQN900AUXCE,Скидка по карте – 3%456 000c,456 000,/files/media/18/18170.png,https://myphone.kg/ru/catalog/televizory/i3155/qn900auxce
"AppleMacBook Pro 16""M1Pro/16Gb/1Tb",236 500c,M1Pro/16Gb/1Tb,/files/media/18/18289.webp,https://myphone.kg/ru/catalog/dlya_kompyutera/noutbuki/i3173/macbook_pro_16
SamsungQN95BUXCE,Скидка по карте – 3%228 000c,228 000,/files/media/17/17837.png,https://myphone.kg/ru/catalog/televizory/i3089/qn95buxce
