Название,Цена,Описание,Картинка
Asus ZenFone 6 8/256Гб EUZenFone 6 - за гранью привычногоБезрамочный дисплей NanoEdgeПередняя п..49400сом.0 отзывовНет в наличии,49400сом.,ZenFone 6 - за гранью привычногоБезрамочный дисплей NanoEdgeПередняя п..,https://telefon.kg/image/cache/catalog/new/Phones/Asus/ZenFone 6/13-220x220.jpg
Asus ZenFone 8 8+128Гб EUКомпактный и мощныйСмартфон Zenfone 8 предлагает высокую производитель..50900сом.1 отзывовНет в наличии,50900сом.,Компактный и мощныйСмартфон Zenfone 8 предлагает высокую производитель..,https://telefon.kg/image/cache/catalog/new/Phones/Asus/ZenFone 8/1-220x220.jpg
"Asus ZenFone 8 Flip 8+256Гб EUБросая вызов обычномуZenFone 8 Flip бросает вызов обычным вещам, чтобы..58650сом.1 отзывовНет в наличии",58650сом.,"Бросая вызов обычномуZenFone 8 Flip бросает вызов обычным вещам, чтобы..",https://telefon.kg/image/cache/catalog/new/Phones/Asus/ZenFone 8 Flip/1-220x220.jpg
"Asus ZenFone 9 16+256Гб EUASUS Zenfone 9Ультракомпактный, ультрастильный и сверхскоростной Zenfo..68850сом.1 отзывовКупить",68850сом.,"ASUS Zenfone 9Ультракомпактный, ультрастильный и сверхскоростной Zenfo..",https://telefon.kg/image/cache/catalog/new/Phones/Asus/Zenfone 9/1-220x220.jpg
"Asus ZenFone 9 8+128ГбASUS Zenfone 9Ультракомпактный, ультрастильный и сверхскоростной Zenfo..57700сом.1 отзывовКупить",57700сом.,"ASUS Zenfone 9Ультракомпактный, ультрастильный и сверхскоростной Zenfo..",https://telefon.kg/image/cache/catalog/new/Phones/Asus/Zenfone 9/1-220x220.jpg
"BLU STUDIO MINI 2+32ГбВосхитительный видSTUDIO MINI, оснащенный дисплеем HD+ с диагональю 5...6300сом.1 отзывовНет в наличии",6300сом.,"Восхитительный видSTUDIO MINI, оснащенный дисплеем HD+ с диагональю 5...",https://telefon.kg/image/cache/catalog/new/Phones/BLU/STUDIO MINI/1-220x220.jpg
"Doogee X90 1+16ГбКаплевидный вырез, потрясающий новый видФронтальная камера размещена в..5700сом.1 отзывовНет в наличии",5700сом.,"Каплевидный вырез, потрясающий новый видФронтальная камера размещена в..",https://telefon.kg/image/cache/catalog/new/Phones/Doogee/X90/9-220x220.jpg
LG W41 Plus 4+128Гб EUИдет работа над описанием.....17150сом.1 отзывовНет в наличии,17150сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/LG./W41 Plus/lg_w41+-220x220.jpg
LG W41 Pro 6+128Гб EUИдет работа над описанием.....21150сом.1 отзывовНет в наличии,21150сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/LG./W41 Pro/lg_w41-220x220.jpg
Microsoft Surface Duo 2 8+128Гб EUMicrosoft Surface Duo 2..135000сом.1 отзывовНет в наличии,135000сом.,Microsoft Surface Duo 2..,https://telefon.kg/image/cache/catalog/new/Phones/Microsoft/Surface Duo 2/microsoft-surface-duo2-2-220x220.jpg
Motorola Edge 20 Fusion 8+128Гб EUИдет работа над описанием.....25000сом.1 отзывовНет в наличии,25000сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/Motorola/Edge 20 Fusion/Motorola-Edge-20-Fusion-220x220.jpg
Motorola Edge 6/128Гб EUИдет работа над описанием.....61500сом.0 отзывовНет в наличии,61500сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/Motorola/Edge/1-220x220.jpg
Motorola Edge Plus 12/256Гб EUИдет работа над описанием.....76000сом.0 отзывовНет в наличии,76000сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/Motorola/Edge Plus/1-220x220.png
Motorola Moto G Play 3/32Гб EUИдет работа над описанием.....16150сом.1 отзывовНет в наличии,16150сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/Motorola/Moto G Play/3-220x220.jpg
